staff_id,password,firstname,lastname
000000612,password,Bob,Ross
000000622,password,Kwasi,Edwards
000000613,password,Duc The,Kieu
000000616,password,Permanand,Mohan
000000629,password,Rachel,Hill
000000617,password,Olivia,Thompson
000000621,password,Joshua,Mathura
000000626,password,Irene,Harris
000000614,password,Kris,Manohar
000000611,password,Michael,Hosein
000000618,password,Diana,Ragbir-Shripat
000000628,password,Quinn,Walker
000000619,password,Shareeda,Mohammed
000000615,password,Phaedra,Mohammed
000000624,password,Nicholas,Mendez
000000623,password,Lucas,Rodriguez
000000630,password,Steve,Scott
000000620,password,Amit,Ramkissoon
000000625,password,Grace,Gonzalez
000000632,password,Uma,Nelson
000000631,password,Tina,Adams
000000633,password,Victor,Ramirez
000000627,password,Patrick,Hosein
